100,NEM13,200401101030,MDA1,Ret1,,,,,,,,,,,,,,,,,,
250,2291137510,11,1,11,11,R4ZFLS6ZY1UV,E,55893,20031015100333,A,,,56311,20040107100333,A,,,418,kWh,20040331,20040108100333,20040108090333
250,7142747824,11,1,11,11,DYRGBH6BWPT5,E,99067,20031011094843,A,,,99772,20040103094843,A,,,705,kWh,20040327,20040104094843,20040104084843
250,6622677625,11,1,11,11,V5B1277IYX0U,E,24265,20031011121919,A,,,25200,20040103121919,A,,,935,kWh,20040327,20040104121919,20040104111919
250,6246064919,11,1,11,11,UI6R0K4N77BO,E,9719,20031012135331,A,,,9733,20040104135331,A,,,14,kWh,20040328,20040105135331,20040105125331
250,5787326565,1141,1,41,41,PSMIL89KM79J,E,181766,20031015133049,A,,,182615,20040107133049,A,,,849,kWh,20040331,20040108133049,20040108123049
250,5787326565,1141,2,11,11,PSMIL89KM79J,E,130862,20031015133049,A,,,131113,20040107133049,A,,,251,kWh,20040331,20040108133049,20040108123049
250,4207921708,11,1,11,11,Y9P86V6A2TCQ,E,62204,20031011092923,A,,,62298,20040103092923,A,,,94,kWh,20040327,20040104092923,20040104082923
250,1659877109,1141,1,41,41,5HMJ7WVEOM6Z,E,24892,20031012141941,A,,,25691,20040104141941,A,,,799,kWh,20040328,20040105141941,20040105131941
250,1659877109,1141,2,11,11,5HMJ7WVEOM6Z,E,97275,20031012141941,A,,,97609,20040104141941,A,,,334,kWh,20040328,20040105141941,20040105131941
250,9520021491,11,1,11,11,HKYDFUE2PONY,E,23670,20031015151206,A,,,24227,20040107151206,A,,,557,kWh,20040331,20040108151206,20040108141206
